Type	BOM Name	BOM #	Description	Cert on File	Vendor Part #
Electrical	Charging Sources		Renogy 50-Amp 12V DC-to-DC On-Board Battery Charger with MPPT 		RBC50D1S-G7-US
Electrical	Charging Sources		Rich Solar MEGA 200 ONYX | 200 Watt Solar Panel		RS-M200B
Electrical	Charging Sources		Victron Energy MC4 Solar Splitter Y Cable Pair (Male/Female)		SCA520500000
Electrical	House Battery System		Renogy Battery Shunt 300A		RSHST-B02P300
Electrical	House Battery System		Renogy Monitoring Screen for DC-to-DC MPPT Battery Chargers		RMS-DCDC
Electrical	House Battery System		Rich Solar ALPHA 2 PRO | 12V 200Ah LiFePO4 Battery 		RS-B122SP
Electrical	House Battery System		Rich Solar Inverter Remote Controller with LCD		RS-RM02
Electrical	House Battery System		Rich Solar NOVA SUPERCHARGER 2K | 2000W 12V Pure Sine Wave Inverter Charger		RS-V2P12C
Electrical	Lighting		Acegoo RV Light Ultra-Thin Dimmable Light(6 Pack,3000K) 12V Dimmer Switch Bundle Black		
Electrical	Lighting		APIELE 12mm black aluminum high-head momentary white ring LED, pre-wired, 12V		AP12BH10EA6W-T (GQ12BH-10E/A)
Electrical	Lighting		APIELE 19mm black aluminum flat-head momentary white ring LED, pre-wired/socket plug, 12V		AP19BF11EA6WT (GQ19F-11E/A)
Electrical	Lighting		Axion Lighting Shelly Plus 1		 Shelly-Plus-1-1-UL
Electrical	Lighting		WisHomee 12V Dimmable LED Reading Light with USB Charging		
Electrical	Refrigerator		Flange for Indel B Cruise 65 Clean Touch		ISO SGB00191US
Electrical	Refrigerator		Indel B 65L 12VDC Compressor Fridge/Freezer		OFF CCRL065N1P03W0NNO00
